date,code,amount
2022/06/15,bus insiderbi prime 6463766096 ny 0622 9.95 us dollar,-14.47
2022/06/14,marriott fiji resort nadi fji 0622 104.06 fiji dollar,-69.47
2022/06/14,"marriott fiji resort nadi fji 0622 1,400.00 fiji dollar",-943.84
2022/06/14,tappoo ltd fiji fji 0622 147.19 fiji dollar,-99.23
2022/06/14,tappoo ltd fiji fji 0622 4.05 fiji dollar,-2.73
2022/06/14,iga breakfast breakfast poaus,-65.24
2022/06/14,uber* trip sydney nsw,-48.28
2022/06/12,dbs*fitness local mort mortlake ns,-21.95
2022/06/10,prime video channels sydney nsw,-8.99
2022/06/10,sq *powells creek ten north strathaus,-44
2022/06/09,prime video channels sydney nsw,-4.99
2022/06/08,jacks fiji outlet de nadi  fji merchant,-39.48
2022/06/07,sumo salad mascot nsw,-23.45
2022/06/07,prouds dutyfree arriva nadi fji 0622 3.59 fiji dollar,-2.36
2022/06/06,iga breakfast breakfast poaus,-66.48
2022/06/06,uber *trip sydney aus,-55.37
2022/06/06,paypal *fijicareins 4029357733 sgp  sgp merchant,-115.7
2022/06/06,prime video channels sydney nsw,-8.99
2022/06/06,amzn digital*t495a3b53 888-802-3080wa 0622 10.81 us dollar,-15
2022/06/06,amzn digital*cx1nn1gw3 888-802-3080wa 0622 15.84 us dollar,-21.98
2022/06/06,1001 optical p/l burwood nsw,-172
2022/06/06,dbs*fitness local mort mortlake ns,-21.95
2022/06/06,sq *wolfpack coffee r mortlake aus,-9.6
2022/06/06,lgc*uber eats giftcard sydney nsw,-300
2022/06/06,amzn digital*n62x90a93 888-802-3080wa 0622 10.81 us dollar,-15
2022/06/05,sq *powells creek ten north strathaus,-71.3
2022/06/05,sq *wolfpack coffee r mortlake aus,-9.6
2022/06/04,true plate pty ltd nswnsw,-36
2022/06/04,uber* eats sydney nsw,-62.49
2022/06/03,sq *wolfpack coffee r mortlake aus,-13.1
2022/06/02,apple.com/bill sydney nsw,-7.99
2022/06/02,baby bunting pl campbelltownnsw,-216.75
2022/06/02,baby bunting pl campbelltownnsw,-77.8
2022/06/02,sq *wolfpack coffee r mortlake aus,-13.1
2022/06/02,connor clothing pty ambarvale,-59.99
2022/06/01,captain cook cruises neutral bay nsw,-319.95
2022/06/01,captain cook cruises neutral bay nsw,-319.95
2022/06/01,mamabox australia stoneville wa,-89
2022/06/01,sq *wolfpack coffee r mortlake aus,-9.6
2022/05/31,uber *eats sydney aus,-52.79
2022/05/31,iga breakfast breakfast poaus,-48.91
2022/05/31,sq *wolfpack coffee r mortlake aus,-12.6
2022/05/30,fitness local mortlake mortlake nsw,-4
2022/05/30,dbs*fitness local mort mortlake ns,-21.95
2022/05/30,sq *wolfpack coffee r mortlake aus,-9.6
2022/05/30,smp*supplement world burwood aus,-80.95
2022/05/30,netflix.com netflix.com ca 0522 16.77 us dollar,-23.7
2022/05/30,deliveroo north sydneynsw,-66.68
2022/05/29,sq *powells creek ten north strathaus,-45
2022/05/29,true plate pty ltd nswnsw,-31.5
2022/05/29,iga breakfast breakfast poaus,-47.42
2022/05/29,amznprimeau membership sydney southnsw,-6.99
2022/05/28,baby bunting dandenong sovic,-72.25
2022/05/28,key pharmaceuticals macquarie pansw,-100
2022/05/28,babyhood woodridge qld,-65
2022/05/28,deliveroo north sydneynsw,-51.98
2022/05/28,sq *wolfpack coffee r mortlake aus,-9.6
2022/05/28,uber *eats sydney aus,-55.79
